HITID,title,Worker1,rating,asdf,Date
3GKAWYFRAPT725IBROLXFVTKIU5PDM,Canadian MPs hold first caucuses since shooting: 'Nothing is going to stop us',AS9E0S6DBSWH7,2,2.0,2015-03-31 00:45:34 UTC
3CKVGCS3PG5AGDX97T1WVTECBP40SL,Win your lover back (for &#163;3,A34MLDXV03B7K9,2,2.0,2015-03-31 01:13:51 UTC
3QGHA0EA0J047HHSPE8MCZDG86XBWX,Wen Jiabao talks of democracy and freedom in CNN interview,A34MLDXV03B7K9,2,2.0,2015-03-31 01:14:04 UTC
372AGES0I456CO37VGQYEXWRZU5RXI,British forces try to mend fences in town where six soldiers died,A34MLDXV03B7K9,2,2.0,2015-03-31 01:14:35 UTC
3W5PY7V3UP7EE5A4S73RVKH9RJ6JYP,Big test for pride of Iraqi arsenal,A1GKEEI844CEKI,1,1.0,2015-03-31 00:42:37 UTC
3KQC8JMJGCSH7WIQFM7GTD5H5Q7H3C,41 held over Turkish terror links,A1GKEEI844CEKI,1,1.0,2015-03-31 00:41:54 UTC
31ODACBENUFY4628ORVBAZ5UOT2SQB,India urges US to drop charges against diplomat Devyani Khobragade,A109CH3492UU42,1,1.0,2015-03-31 01:18:08 UTC
3B623HUYJ4QSY22C2XEBO8KUUNG8SG,Iran 'could maintain nuclear freeze',A1GKEEI844CEKI,1,1.0,2015-03-31 00:42:31 UTC
334ZEL5JX6FVJUPS9E37LUAU9SJSO2,Divided by war,A1GKEEI844CEKI,1,1.0,2015-03-31 00:43:57 UTC
32XN26MTXZJNC02JNK4VJ70HJVW0L7,China: toddler caught after falling five storeys from building - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:43:56 UTC
37OPIVELUU3HRHHBO1MQGLJNB0ZHA8,India frees UK arms smuggler,A1GKEEI844CEKI,1,1.0,2015-03-31 00:44:39 UTC
3X55NP42EOG9KDGEYZFL2M78RHGP3O,Rape protests spread beyond India,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:45:10 UTC
3ZRKL6Z1E837RH8ULVQZGL1SI6SSGF,Donetsk residents happy as barricades are removed - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:45:14 UTC
3Y3N5A7N4G94FDGPV4GJBC9QVD1YM8,Captured UK personnel shown on Iranian TV,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:48:15 UTC
385MDVINFCFAP0F4D6L3ANWTGB6JWQ,Sweden: Spring breaks the ice on a lakeland walk,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:46:55 UTC
3BPP3MA3TCKM3QHDVR3A4W2LDW6EL7,Canadian team finds Franklin ship on seabed  video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:47:24 UTC
3HYV4299H0WROJXU12U6ZRGFTW78EF,World execution numbers fall,A109CH3492UU42,1,1.0,2015-03-31 01:08:43 UTC
3ZFRE2BDQ9EFEFPY5XKB00YQ8BPXZI,Biden pledges support for Ukraine as east edges closer to union with Russia,A1UL8XW5GSWYAA,1,1.0,2015-03-31 01:08:43 UTC
3JY0Q5X05J641CZ3QVWIR7IPUVZGGK,Google Street View braves Canadian Arctic to chart little-known territory,A1UL8XW5GSWYAA,1,1.0,2015-03-31 01:08:56 UTC
3SA4EMRVJV2D3LHHFCX20O91O5X0P5,Polling begins in Crimeas referendum - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:47:35 UTC
3MD8CKRQZZN5H4YIECBXNOOCOWRJRN,Stampede for 'Bush shoe' creates 100 new jobs,A9KPCMO1J1LQF,1,1.0,2015-03-31 00:47:14 UTC
356ZPKYPUHHA0GD2NK8BSG3L0ICYP4,Iranian activist wins Nobel peace prize,A1GKEEI844CEKI,1,1.0,2015-03-31 00:47:00 UTC
3H5TOKO3D9JMS3HDJHLV6R8XACN64L,New breed of Islamic politicians start to find their feet,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:46:34 UTC
3E22YV8GG16GOH9OGIZ0B05EWY8PN5,Delhi attempts to reassure tourists in wake of terror fears,A1GKEEI844CEKI,1,1.0,2015-03-31 00:48:30 UTC
36AZSFEYZ40RSSHNZ43QQXU21XUVB6,Ken Bigley makes new video appeal,A34MLDXV03B7K9,1,1.0,2015-03-31 01:11:00 UTC
3087LXLJ6MG1C8SN191XOUVXMZA0F2,Bush urges Arab allies to confront Iran,A109CH3492UU42,1,1.0,2015-03-31 01:11:17 UTC
35XW21VSVGEND9MVWMNFTD60ENFSLM,Tokyo shows its conservationist colours,A1GKEEI844CEKI,1,1.0,2015-03-31 00:51:12 UTC
3X55NP42EOG9KDGEYZFL2M78RHH3P3,Tokyo to change law so its forces can aid America,A109CH3492UU42,1,1.0,2015-03-31 01:13:07 UTC
3I7KR83SNADUOO8E2GBNXIOVXZLK90,US drops weapons and ammunition to help Kurdish fighters in Kobani,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:50:43 UTC
3OZ4VAIBEXFXABFZNWG7OLDF923VJR,Monitors vow to aid new vote in Ukraine,A109CH3492UU42,1,1.0,2015-03-31 01:13:13 UTC
3126F2F5F83CUBWBNJWHLDB5I67EP5,Canada mounts expedition to find remains of 1845 British attempt to find Northwest Passage,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:51:46 UTC
39O6Z4JLX2XY5VKO40V8FULUK0JXVI,Greek socialists achieve resounding win in snap election,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:52:09 UTC
3EGKVCRQFWS8WMCS4FQAXWYWJEXBYW,Heroic rescue of Japanese family in tsunami-hit Sendai - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:51:36 UTC
3D7VY91L65X825NELC2Z31BPA4IMBG,Syria: army defectors meet Arab League observers - Thursday 5 January,A109CH3492UU42,1,1.0,2015-03-31 01:12:40 UTC
3N2YPY1GI6YPZVT79V5GR50N4U7VE6,Iran bows to EU pressure to freeze uranium programme,A109CH3492UU42,1,1.0,2015-03-31 01:12:01 UTC
3VIVIU06FKCIPD1KRMUGPOF25U3MIQ,Paper plane enthusiast sets flight record,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:53:00 UTC
39KV3A5D187OYOXTSSM5A8OZJ3AS7D,Yemeni journalist who reported US missile strike is released from jail,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:32:36 UTC
3QI9WAYOGQB5UOJO9IHD4UO3OSQS6E,Behind the scenes of the US-Cuba deal,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:34:52 UTC
341H3G5YF0E7HPJN2LV4RMBFY440ZQ,Finns arrange urgent meeting to try to bridge Cyprus divide,A109CH3492UU42,1,1.0,2015-03-31 01:12:45 UTC
36818Z1KV3D2X9AC9GXOCRIDSVH3AN,Iranians go to polls after spirited end to presidential campaign,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:35:26 UTC
3X55NP42EOG9KDGEYZFL2M78RHHP3P,Iran to review election candidates ban,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:35:06 UTC
3P0I4CQYVY7OQB61TJD8IJDFF5FOWD,Secular strongman edges out Iraq leader in poll endorsed by UN,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:34:35 UTC
3JMNNNO3B14AJ4HW6LFBB6ACE0K2WM,Wilting German Greens elect new leaders to win back voters,AS9E0S6DBSWH7,1,1.0,2015-03-31 01:13:01 UTC
3SA4EMRVJV2D3LHHFCX20O91O5XP0U,Toronto mayor Rob Ford dances to Bob Marley in City Hall - video,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:54:19 UTC
30ZKOOGW2W66N6WXMCJ5OY3GUB41AU,Japan's main opposition leader Ichiro Ozawa resigns over funding scandal,A1GKEEI844CEKI,1,1.0,2015-03-31 00:38:04 UTC
3EAWOID6MTXQ85ED1O616GYJATXV0K,Annan honours UN dead as Iraq leader predicts British pull-out,A1GKEEI844CEKI,1,1.0,2015-03-31 00:37:57 UTC
31ANT7FQN82KLB5UT5V98A31JMYH52,Press freedom campaigners condemn knife attack on Hong Kong editor,AS9E0S6DBSWH7,1,1.0,2015-03-31 00:37:12 UTC
368IUKXGA588HW3WH1DJ9PJS18JP6V,US will not reverse Middle East terror precautions in wake of foiled plot,A34MLDXV03B7K9,1,1.0,2015-03-31 01:14:12 UTC
3KA7IJSNW65EN8KRDSURK55KF9UBP2,Blair opts for delay on Iraq,A109CH3492UU42,1,1.0,2015-03-31 01:14:40 UTC
3E9VAUV7BWE3DC70Y1QE2LEQ1WCYAO,Iran digs graves for US soldiers,A109CH3492UU42,1,1.0,2015-03-31 01:15:11 UTC
3VW0145YLYCEKOLQ94FG1PU2I9RMJ1,Europe looks to Syriza for hope of change | Letter,A34MLDXV03B7K9,1,1.0,2015-03-31 01:15:09 UTC
37MQ8Z1JQEWE89CWLMXZW3VSP8KY2H,US 'reshapes Iraq reconstruction policy',A109CH3492UU42,1,1.0,2015-03-31 01:15:46 UTC
33TGB4G0LPHJS3GZZ5VTECX9NF2XT1,Turkey looks for peace with Kurds,A109CH3492UU42,1,1.0,2015-03-31 01:15:41 UTC
3W0KKJIARR9UAJP4XO59XMTKDT38KZ,Faith rises from the rubble,A109CH3492UU42,1,1.0,2015-03-31 01:15:52 UTC
3VEI3XUCZRX13F1G9PGHKKAOXVWPRS,Women hit back at India's rape culture,A109CH3492UU42,1,1.0,2015-03-31 01:14:53 UTC
3UAU495MIISBY7HWYJY70VSIUP5UOL,Yushchenko orders removal of tent camp,A109CH3492UU42,1,1.0,2015-03-31 01:16:30 UTC
3ZG552ORAM4X4FHRGBAFP4RY7RIV25,Pro-religion scientist wins Templeton prize,A1GKEEI844CEKI,1,1.0,2015-03-31 00:42:24 UTC
3OREP8RUT2B8AVRSA944QWRSEI7BGY,Curtain up,A109CH3492UU42,0,0.0,2015-03-31 01:16:54 UTC
3TKSOBLOHLGCJEJHUNCQPL0VY5FBBH,Yemen chaos forces closure of US embassy to public,A1GKEEI844CEKI,0,0.0,2015-03-31 00:41:27 UTC
3SSN80MU8COKPKQC5WH1DLAD42BXKV,China denies 10,A109CH3492UU42,0,0.0,2015-03-31 01:17:15 UTC
3OB6JN3A9QPVIC43H9OP3GGTSQMMRU,Japan tsunami and earthquake - Friday 11 March part two,A109CH3492UU42,0,0.0,2015-03-31 01:17:50 UTC
3DWGDA5POF4QFUZVX7A1KLHTFL4V1O,The Chinese toddler chained through love and fear,A109CH3492UU42,0,0.0,2015-03-31 01:17:33 UTC
37Y5RYYI0P5ID33KA5Q3471NLWOXSC,US has plan to attack Iran if needed,A1GKEEI844CEKI,0,0.0,2015-03-31 00:40:31 UTC
3EPG8DX9LKQCYS3ICI3EHJ5S5D85PV,Barack Obama seeks to limit EU fallout over US spying claims,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:00:19 UTC
3KI0JD2ZU1IJBQZWLFJ293S71ED675,Joseph Stiglitz: The ruin of Russia,A109CH3492UU42,0,0.0,2015-03-31 01:17:03 UTC
32ZCLEW0BZKK5RI31K78ITOXNE2PJ0,US speaker Nancy Pelosi meets Tibet's Dalai Lama,A1S88VQY8G8CNC,0,0.0,2015-03-31 00:59:25 UTC
3VADEH0UHCXD4U1TOEGMAUFKJXGSPK,Open your eyes Europe,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:02:10 UTC
3X0EMNLXEPPTWMIXI9LRLHZRI19PVL,Islamic State magazine interviews Hayat Boumeddiene,A1S88VQY8G8CNC,0,0.0,2015-03-31 00:59:34 UTC
3CRWSLD91K4SLZCNPH7L9LBOH31MOK,Golden Dawn leader charged with heading a criminal gang,A1GKEEI844CEKI,0,0.0,2015-03-31 00:41:44 UTC
3K3G488TR28XY44XCVI3HOV2A9U5QM,Rush for Arctic's resources provokes territorial tussles,A1GKEEI844CEKI,0,0.0,2015-03-31 00:42:00 UTC
37ZQELHEQ0YA3ECBO278UWBJRTXMN6,Turkish president Abdullah G&uuml;l talks to Stephen Kinzer,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:42:04 UTC
3YLTXLH3DF6OELNDDK4N6G8IAMZPHW,China concludes trial of flamboyant police chief,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:22 UTC
32ZCLEW0BZKK5RI31K78ITOXNE3JPV,Canada's 'anti-prostitution law' raises fears for sex workers' safety,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:06:16 UTC
3FI30CQHVKJ6D22MYWVIE5E3K446BR,Roy goes to prison and agonises over fine or serving longer term,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:06:27 UTC
3T2EL38U0MK60NO7I11Y97MM383XQN,Boeing sells first private business jet to mainland,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:00 UTC
30EMX9PEVKJCT34DBMBEEDTLPN9SKI,Indian detectives hunt killer bandit,A109CH3492UU42,0,0.0,2015-03-31 01:06:52 UTC
3FK4G712NX0AHMHLGVKG5ZKV6HNSS0,India and Pakistan - what the papers say,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:43:21 UTC
3TD33TP5DL2704EPO9CUUAGPGNUBAM,Russian gas row may cost UK customers,A109CH3492UU42,0,0.0,2015-03-31 01:06:56 UTC
39WSF6KUV2LU9BKA8JJ2WD6F81BEOO,India will pay families to have girls to end foeticide,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:05 UTC
3KA7IJSNW65EN8KRDSURK55KF9TPBF,The first day of the new school year in Ukraine - in pictures,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:10 UTC
3MG8450X2OATJ7TXDJBMPVX84U1UP2,Escaped snake kills two boys in Canada - video,A109CH3492UU42,0,0.0,2015-03-31 01:06:59 UTC
3GV1I4SEO9PIQBOYP9KCS8A8WYI6LE,Lonely Japanese find solace in 'rent a friend' agencies,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:26 UTC
31YWE12TE0CWU5JSM2SS9G5RYIBX7P,Luke Harding: Moscow diary,A109CH3492UU42,0,0.0,2015-03-31 01:07:04 UTC
3KWGG5KP6J2RCAFKZCYUELH7SPIMCN,Spain under Franco: 'Marxists are retards',A1GKEEI844CEKI,0,0.0,2015-03-31 00:44:13 UTC
3QI9WAYOGQB5UOJO9IHD4UO3OSPS6D,Freestyle skiier Sarah Burke's career in pictures,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:08:20 UTC
3VEI3XUCZRX13F1G9PGHKKAOXVXRPV,Migrants saved in Greek boat accident mourn relatives  and dispute claims,A109CH3492UU42,0,0.0,2015-03-31 01:06:40 UTC
37G6BXQPLQLXUNXQNWB6LI1FN2TEQW,Press review: What they said about Gerhard Schroder,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:44:49 UTC
3P520RYKCH6PQXBET428RPSRDU05UR,Cultural invasion of Britain celebrates Germany's big shift,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:44:08 UTC
3FHTJGYT8N0AEPS2TEM5LGWHVMLPGW,Project Tindaya: an interactive guide,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:06:00 UTC
3B6F54KMR2CAN2IR3C5W9YXMGHAS1G,Turkish mine rescue workers end their search after retrieving last two bodies,A109CH3492UU42,0,0.0,2015-03-31 01:07:07 UTC
3126F2F5F83CUBWBNJWHLDB5I66PEF,Iran calls for uranium enrichment on its soil,A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:08:18 UTC
3D0LPO3EABZSFG118KVW3GYVQDGYON,Machine that shapes your dreams,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:05:54 UTC
3PA41K45VN4RLWH10BIBF3JOWJ2P7T,China and Japan in race for gas,A109CH3492UU42,0,0.0,2015-03-31 01:07:53 UTC
3D17ECOUOEV63LXCDX4V1QPAO1B31Z,Obituary: Boris Yefimov,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:45:58 UTC
3NFWQRSHVEEYNC38FBQ09MIDTGZGFL,Spain's Catholics to fight Socialist reforms,A109CH3492UU42,0,0.0,2015-03-31 01:07:50 UTC
3M7OI89LVYOPN7USCWRDPPKL2P46CY,Dissenting voices to be silenced as liberal Russian TV channels come under state control,A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:07:42 UTC
3D1UCPY6GG9OELHXCIDAG0CI27H38J,'A complete surprise',A9KPCMO1J1LQF,0,0.0,2015-03-31 01:07:46 UTC
3SMIWMMK615J3GQYP5PHHP54XR3UWW,Nazi V2 rocket man Von Braun's top-secret papers go on sale,A109CH3492UU42,0,0.0,2015-03-31 01:07:57 UTC
3FO95NVK5C0YG7H816KBFPFZKF3SRB,Dalai Lama eyes end to 45-year exile,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:08:08 UTC
368IUKXGA588HW3WH1DJ9PJS18IP6U,The case against Ram Singh,A1GKEEI844CEKI,0,0.0,2015-03-31 00:46:36 UTC
3XUSYT70IT14EOERA3670USCAMU0DR,Obituary: Kenji Yoshida,A109CH3492UU42,0,0.0,2015-03-31 01:07:27 UTC
3Z56AA6EK402WT6JPLLRSLPXW37M6V,In Baghdad,AS9E0S6DBSWH7,0,0.0,2015-03-31 00:48:00 UTC
3Y7LTZE0YTMNXBV30S9OGTZMET8UZN,Japan rejects US calls for apology over 'comfort women',A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:08:05 UTC
31SIZS5W59FM3R2V92V6KP0Y2RJRQM,The 'ordinary but ambitious' girl from the east who is set to be Germany's next leader,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:07:59 UTC
36MUZ9VAE6235ETLIA5MLJUG4N4EDR,Barack Obama criticises internet censorship at meeting in China,A109CH3492UU42,0,0.0,2015-03-31 01:08:01 UTC
37MQ8Z1JQEWE89CWLMXZW3VSP8K2YL,Egypt: Frenchman dies in police custody amid rising tide of xenophobia,A1GKEEI844CEKI,0,0.0,2015-03-31 00:48:06 UTC
3DQYSJDTYLBH3KY29A6YFQX8K5FXEB,Bo Xilai trial coverage: controlled by the court,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:08:16 UTC
37ZQELHEQ0YA3ECBO278UWBJRTWMN5,Canadian porn actor wanted for murder reportedly spotted in France,A1GKEEI844CEKI,0,0.0,2015-03-31 00:47:32 UTC
32204AGAABCI18UEA1E0C7UQ9VCGHJ,Olof Palme murder inquiry takes another twist with revoked alibi,A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:09:10 UTC
3VI0PC2ZAYK3FBBR3O9UK2RMO7MXOG,Iraqi PM demands recount of election ballots 'to avoid return of violence',A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:08:26 UTC
3FVBZG9CLJELQ4JTWZPXRF7A2EN0H0,Eyewitness: Tamil Nadu,A1GKEEI844CEKI,0,0.0,2015-03-31 00:47:12 UTC
3O71U79SRBP7JR4GWYOUTQLPES5SMO,Why even David Beckham may struggle to revive Chinese football,A1GKEEI844CEKI,0,0.0,2015-03-31 00:46:54 UTC
3GKAWYFRAPT725IBROLXFVTKIU6PDN,Britain should stay in EU,A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:08:47 UTC
35YHTYFL1G3H59T346PM9NLNGVMVFO,Kumbh Mela in India  in pictures,A1GKEEI844CEKI,0,0.0,2015-03-31 00:47:23 UTC
37VE3DA4YUHMARM3UFMMBW3TTIKHB3,email: Jonathan Watts@Beijing,A1UL8XW5GSWYAA,0,0.0,2015-03-31 01:08:31 UTC
34XASH8KLQMA6ZOO4HK0YLGER8YMP2,What the papers say,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:47:07 UTC
35JDMRECC496HY3CK06UR4XDHFKGE3,Angela Merkel assailed from all sides in drive to pacify Russia and US on Ukraine,A1GKEEI844CEKI,0,0.0,2015-03-31 00:45:10 UTC
3TZ0XG8CBUKATN6DTREK7DF42ZR895,Hardline Australia,A1GKEEI844CEKI,0,0.0,2015-03-31 00:45:29 UTC
3DZKABX2ZI5A2X9TD4ZL1H0KJIUVCD,Sars,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:47:36 UTC
3M47JKRKCX1NB44FVKB8N3O2CYJ68S,German general election 2013: an open race in an open field,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:47:19 UTC
32TZXEA1OLKRLHGGDB9EBVHG21714I,The question: What's so great about a male heir?,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:48:40 UTC
3A3KKYU7P3H0Q8LPG3YVQFOAK51MWX,Chinese premier calls for calm in Korean row,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:45:20 UTC
38XPGNCKHT077TWEKPT3IJOWR5DV40,Jack Layton's legacy to Canada | Colin Horgan,A1GKEEI844CEKI,0,0.0,2015-03-31 00:45:17 UTC
3WRKFXQBOB7IJUQYAPIRJJ29E4HYIS,Japanese nuclear firm admits error on radiation reading,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:45:41 UTC
32K26U12DNOK7PF7D0UWLNI24I7VDE,Al-Qaida loses top military leader as Yemen launches missile strike,A1GKEEI844CEKI,0,0.0,2015-03-31 00:45:35 UTC
3EGKVCRQFWS8WMCS4FQAXWYWJEXYBJ,Radiation exposure: a quick guide to what each level means,A9KPCMO1J1LQF,0,0.0,2015-03-31 01:10:23 UTC
3EHVO81VN5LLXT4BSITX5KQK76TH1K,Abramovich and Berezovsky take 3.2bn battle to high court,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:10:06 UTC
389A2A304OIU9W8DA7BWGOAUPMIC03,Pollution threat to the backwater beauty of Kerala,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:46:09 UTC
3N7PQ0KLI5P5NMROPLZA8A84DAF3EI,Andrew Scruton obituary,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:10:40 UTC
304QEQWKZPKVIL5G0CKNBO4BE010OO,India denies jet attack,A1GKEEI844CEKI,0,0.0,2015-03-31 00:46:21 UTC
3ACRLU860NEAQHV14EEGQT6G12SEBK,German voters face poll conundrum,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:10:11 UTC
3X7837UUADYCVL0YMO8ZCTXGS9D6JC,Couple-busters offer 50 ways to say sayonara to your lover,A9KPCMO1J1LQF,0,0.0,2015-03-31 00:48:09 UTC
3LN50BUKPVBQ0H6345JLY81PR38PL3,Kumar's election victory a blow against India's caste system,A1S88VQY8G8CNC,0,0.0,2015-03-31 01:09:52 UTC
